Report Date,active_subscriptions_total,active_subscriptions_yearly,active_subscriptions_quarterly,active_subscriptions_monthly,active_subscriptions_unlimited,MRR_total,MRR_yearly,MRR_quarterly,MRR_monthly,MRR_unlimited,monthly_revenue_total,monthly_revenue_yearly,monthly_revenue_quarterly,monthly_revenue_monthly,monthly_revenue_unlimited,monthly_orders_total,monthly_net_revenue_total,all_subs_sold_today,monthly_subs_sold_today,unlimited_subs_sold_today,quarterly_subs_sold_today,yearly_sold_today,all_subs_sold_this_month,monthly_subs_sold_this_month,unlimited_subs_sold_this_month,quarterly_subs_sold_this_month,yearly_sold_this_month,total_revenue_today,revenue_new_subscriptions_today,net_revenue_new_subscriptions_today,all_cancellations_after_1_order_this_month,all_cancellations_after_gt1_order_this_month,monthly_cancellations_after_gt1_order_this_month,unlimited_cancellations_after_gt1_order_this_month,quarterly_cancellations_after_gt1_order_this_month,yearly_cancellations_after_gt1_order_this_month,target_subs_this_month,target_yearly_this_month,subs_remaining_this_month,yearly_remaining_this_month,subs_percent_of_target,yearly_percent_of_target,Blue_light_blockers_sold
2022-10-01,20,6,2,12,0,1400.74,99.41,111.33,1189.99,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0,0,0,0,0,0,0,48,48,48,48,0.0%,0.0%,
2022-10-02,24,6,3,15,0,1752.74,99.41,166.33,1486.99,0.00,446.40,179.10,0.00,267.30,0.00,4,113.01,4,3,0,1,0,4,3,0,1,0,446.40,446.40,113.01,0,0,0,0,0,0,48,48,44,48,8.3%,0.0%,
2022-10-03,24,6,3,15,0,1752.74,99.41,166.33,1486.99,0.00,446.40,179.10,0.00,267.30,0.00,4,113.01,0,0,0,0,0,4,3,0,1,0,0.00,0.00,0.0,0,0,0,0,0,0,48,48,44,48,8.3%,0.0%,
2022-10-04,26,7,4,15,0,1823.99,115.66,221.33,1486.99,0.00,806.40,374.10,165.00,267.30,0.00,6,302.21,1,0,0,1,1,5,3,0,2,1,360.00,360.00,189.2,0,0,0,0,0,0,48,48,43,47,10.4%,2.1%,
2022-10-05,26,7,4,15,0,1823.99,115.66,221.33,1486.99,0.00,806.40,374.10,165.00,267.30,0.00,6,302.21,0,0,0,0,0,5,3,0,2,1,0.00,0.00,0.0,0,0,0,0,0,0,48,48,43,47,10.4%,2.1%,
2022-10-06,28,8,4,16,0,1935.24,131.91,221.33,1581.99,0.00,901.40,374.10,165.00,362.30,0.00,8,234.36,1,1,0,0,1,6,4,0,2,2,95.00,95.00,-67.85,0,0,0,0,0,0,48,48,42,46,12.5%,4.2%,
2022-10-07,28,8,4,16,0,1935.24,131.91,221.33,1581.99,0.00,901.40,374.10,165.00,362.30,0.00,8,234.36,0,0,0,0,0,6,4,0,2,2,0.00,0.00,0.0,0,0,0,0,0,0,48,48,42,46,12.5%,4.2%,
2022-10-08,29,8,4,17,0,2030.24,131.91,221.33,1676.99,0.00,996.40,374.10,165.00,457.30,0.00,9,246.51,1,1,0,0,0,7,5,0,2,2,95.00,95.00,12.15,0,0,0,0,0,0,48,48,41,46,14.6%,4.2%,
2022-10-09,29,8,4,17,0,2030.24,131.91,221.33,1676.99,0.00,996.40,374.10,165.00,457.30,0.00,9,246.51,0,0,0,0,0,7,5,0,2,2,0.00,0.00,0.0,0,0,0,0,0,0,48,48,41,46,14.6%,4.2%,
2022-10-10,29,8,4,17,0,2026.24,131.91,221.33,1672.99,0.00,1091.40,374.10,165.00,552.30,0.00,10,258.66,1,1,0,0,0,8,6,0,2,2,95.00,95.00,12.15,1,0,0,0,0,0,48,48,40,46,16.7%,4.2%,
2022-10-11,29,8,4,17,0,2026.24,131.91,221.33,1672.99,0.00,1091.40,374.10,165.00,552.30,0.00,10,258.66,0,0,0,0,0,8,6,0,2,2,0.00,0.00,0.0,1,0,0,0,0,0,48,48,40,46,16.7%,4.2%,
2022-10-12,29,8,4,17,0,2026.24,131.91,221.33,1672.99,0.00,1289.40,374.10,165.00,750.30,0.00,12,290.72,0,0,0,0,0,8,6,0,2,2,198.00,0.00,0.0,1,0,0,0,0,0,48,48,40,46,16.7%,4.2%,
2022-10-13,30,8,4,18,0,2121.24,131.91,221.33,1767.99,0.00,1384.40,374.10,165.00,845.30,0.00,13,302.87,1,1,0,0,0,9,7,0,2,2,95.00,95.00,12.15,1,0,0,0,0,0,48,48,39,46,18.8%,4.2%,
2022-10-14,32,8,6,18,0,2231.24,131.91,331.33,1767.99,0.00,1644.40,374.10,330.00,940.30,0.00,15,395.07,2,0,0,2,0,11,7,0,4,2,260.00,260.00,92.2,1,0,0,0,0,0,48,48,37,46,22.9%,4.2%,
2022-10-15,33,8,6,19,0,2326.24,131.91,331.33,1862.99,0.00,1739.40,374.10,330.00,1035.30,0.00,16,407.22,1,1,0,0,0,12,8,0,4,2,95.00,95.00,12.15,1,0,0,0,0,0,48,48,36,46,25.0%,4.2%,
2022-10-16,36,8,6,22,0,2611.24,131.91,331.33,2147.99,0.00,2212.90,374.10,330.00,1508.80,0.00,21,466.51,3,3,0,0,0,15,11,0,4,2,473.50,275.50,27.24,1,0,0,0,0,0,48,48,33,46,31.2%,4.2%,
2022-10-17,37,8,7,22,0,2666.24,131.91,386.33,2147.99,0.00,2377.90,374.10,495.00,1508.80,0.00,22,546.56,1,0,0,1,0,16,11,0,5,2,165.00,165.00,80.05,1,0,0,0,0,0,48,48,32,46,33.3%,4.2%,
2022-10-18,37,8,7,22,0,2666.24,131.91,386.33,2147.99,0.00,2476.90,374.10,495.00,1607.80,0.00,23,562.59,0,0,0,0,0,16,11,0,5,2,99.00,0.00,0.0,1,0,0,0,0,0,48,48,32,46,33.3%,4.2%,
2022-10-19,36,8,7,21,0,2567.24,131.91,386.33,2048.99,0.00,2476.90,374.10,495.00,1607.80,0.00,23,562.59,0,0,0,0,0,16,11,0,5,2,0.00,0.00,0.0,1,1,1,0,0,0,48,48,32,46,33.3%,4.2%,
2022-10-20,38,8,7,23,0,2757.24,131.91,386.33,2238.99,0.00,2657.40,374.10,495.00,1788.30,0.00,25,577.68,2,2,0,0,0,18,13,0,5,2,180.50,180.50,15.09,1,1,1,0,0,0,48,48,30,46,37.5%,4.2%,
2022-10-21,38,8,7,23,0,2757.24,131.91,386.33,2238.99,0.00,2657.40,374.10,495.00,1788.30,0.00,25,577.68,0,0,0,0,0,18,13,0,5,2,0.00,0.00,0.0,1,1,1,0,0,0,48,48,30,46,37.5%,4.2%,
2022-10-22,38,8,7,23,0,2757.24,131.91,386.33,2238.99,0.00,2954.40,374.10,495.00,2085.30,0.00,28,625.77,0,0,0,0,0,18,13,0,5,2,297.00,0.00,0.0,1,1,1,0,0,0,48,48,30,46,37.5%,4.2%,
