DATE,Month,Vendor,Item,Quantity, Total Cost , Unitary cost ,Notes
2/28/2023,2,Costco,Hand-Warmers,80,$39.04 ,$0.49 ,
3/1/2023,3,Amazon,Plastic Bags,200,$10.51 ,$0.05 ,
3/1/2023,3,ATC Medical,Lancets,200,$97.28 ,$0.49 ,
3/6/2023,3,Amazon,Box,48,$49.44 ,$1.03 ,
3/8/2023,3,Stamps.com,Postage,1,$87.20 ,$87.20 ,
3/20/2023,3,Amazon,Blue filter glasses,9,$335.43 ,$37.27 ,
3/30/2023,3,Amazon,Box,24,$25.49 ,$1.06 ,
3/30/2023,3,Costco,Hand-Warmers,160,$78.07 ,$0.49 ,
3/30/2023,3,HonestMedical,Lancets,400,$187.92 ,$0.47 ,
3/30/2023,3,Stamps.com,Postage,1,$109.85 ,$109.85 ,
4/4/2023,4,Stamps.com,Postage,1,$109.85 ,$109.85 ,
4/6/2023,4,Amazon,Blue filter glasses,12,$447.24 ,$37.27 ,
4/11/2023,4,Amazon,Hand-Warmers,96,$101.92 ,$1.06 ,
4/12/2023,4,Spectra,Blue filter glasses,200,"$4,328.00 ",$21.64 ,shipped to spot on
4/12/2023,4,Amazon,Box,48,$49.44 ,$1.03 ,
5/2/2023,5,Amazon,Plastic Bags,200,$9.89 ,$0.05 ,
5/9/2023,5,Amazon,Plastic Bags,200,$9.89 ,$0.05 ,
5/9/2023,5,Amazon,Box,72,$75.27 ,$1.05 ,
5/9/2023,5,Amazon,Liquid IV,144,$74.97 ,$0.52 ,
5/9/2023,5,Amazon,Hand-Warmers,40,$15.12 ,$0.38 ,
5/15/2023,5,Amazon ,Liquid IV,144,$74.97 ,$0.52 ,
5/15/2023,5,Amazon ,Hand-Warmers,160,$69.00 ,$0.43 ,
5/15/2023,5,Amazon ,Box,72,$72.00 ,$1.00 ,
6/16/2023,6,Amazon ,Hand-Warmers,100,$75.60 ,$0.76 ,
6/16/2023,6,Amazon ,Liquid IV,384,$599.76 ,$1.56 ,
6/20/2023,6,Amazon ,Box,240,$231.62 ,$0.97 ,
6/30/2023,6,Amazon ,Hand-Warmers,400,$355.80 ,$0.89 ,
7/6/2023,7,Amazon ,Liquid IV,576,$899.64 ,$1.56 ,288 kits (good for)
7/18/2023,7,Amazon ,Box,480,$464.32 ,$0.97 ,
7/18/2023,7,Stephen Gould,Membership Box,100,"$7,335.18 ",$73.35 ,
7/18/2023,7,AliBaba,Blue filter glasses,182,"$3,620.00 ",$19.89 ,
8/8/2023,8,AliBaba,Hand-Warmers,2000,"$1,300.00 ",$0.65 ,
8/14/2023,8,costco,Liquid IV,960,"$1,267.30 ",$1.32 ,480 kits (good for)
8/14/2023,8,Amazon ,Box,240,$231.62 ,$0.97 ,
8/21/2023,8,"Zendustries, Inc",Blue filter glasses,300,"$4,959.00 ",$16.53 ,
10/9/2023,10,"Zendustries, Inc",Blue filter glasses,300,"$4,959.00 ",$16.53 ,
10/16/2023,10,Costco,Liquid IV,720,$969.88 ,$1.35 ,
12/7/2023,12.00,"Zendustries, Inc",Blue filter glasses,300," $4,959.00 ", $16.53 ,
,,,,,,  ,
