,order_id,purchase_item_id,external_inventory_policy,external_product_id,external_variant_id,grams,handle,images,original_price,properties,purchase_item_type,quantity,sku,tax_due,tax_lines,taxable,taxable_amount,title,total_price,unit_price,unit_price_includes_tax,variant_title,COGS
0,519939672,349216797,decrement_obeying_policy,{'ecommerce': '8245346828517'},{'ecommerce': '43985997005029'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483_small'}",197.00,[],subscription,1,unlimited_membership-2,0.00,[],False,0.00,Unlimited Membership,197.0,197.00,False,,0
1,519667017,342032643,decrement_obeying_policy,{'ecommerce': '7965783949541'},{'ecommerce': '43317499592933'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_small'}",95.00,[],subscription,1,quantify_mens_health_kit_tier_III,0.00,[],False,0.00,Monthly Membership,95.0,95.00,False,,80
2,519666976,341992347,decrement_obeying_policy,{'ecommerce': '7965783949541'},{'ecommerce': '43317499592933'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_small'}",95.00,[],subscription,1,quantify_mens_health_kit_tier_III,0.00,[],False,0.00,Monthly Membership,95.0,95.00,False,,80
3,519666937,320091239,decrement_obeying_policy,{'ecommerce': '7965783949541'},{'ecommerce': '43317499592933'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_small'}",95.00,[],subscription,1,quantify_mens_health_kit_tier_III,0.00,[],False,0.00,Monthly Membership,95.0,95.00,False,,80
4,519666900,319938309,decrement_obeying_policy,{'ecommerce': '7965783949541'},{'ecommerce': '43317499592933'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_ebe6d2f6-7dc1-4be3-aa63-5dd12cbb010f_large.gif?v=1660764323_small'}",95.00,[],subscription,1,quantify_mens_health_kit_tier_III,0.00,[],False,0.00,Monthly Membership,95.0,95.00,False,,80
5,519666839,320062293,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
6,519666786,319952530,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
7,519666741,319951556,decrement_obeying_policy,{'ecommerce': '7954009653477'},{'ecommerce': '43288411013349'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/photoboxgif_large.gif?v=1660058125_small'}",165.00,[],subscription,1,quantify_mens_health_kit_tier_II,0.00,[],False,0.00,Quarterly Membership,165.0,165.00,False,,80
8,519643554,352559138,decrement_obeying_policy,{'ecommerce': '8246347956453'},{'ecommerce': '43988341817573'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/libre2_large.png?v=1680025380_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/libre2_large.png?v=1680025380_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/libre2_large.png?v=1680025380', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/libre2_large.png?v=1680025380_small'}",0.00,[],onetime,1,quantify_cgm,0.00,[],False,0.00,CGM,0.0,0.00,False,,127
9,519643554,352559116,decrement_obeying_policy,{'ecommerce': '8245346828517'},{'ecommerce': '43985997005029'},,,"{'large': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483_large', 'medium': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483_medium', 'original': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483', 'small': 'https://cdn.shopify.com/s/files/1/0656/6798/9733/products/Box_Mockups_OK_1_77c3baca-254d-4598-9086-d0a467d8c0e0_large.jpg?v=1679931483_small'}",197.00,[],subscription,1,unlimited_membership-2,0.00,[],False,0.00,Unlimited Membership,197.0,197.00,False,,0
